ID,Polygonia comma,Nymphalis antiopa,Aglais milberti,Ancyloxypha numitor,Anthocharis sara,Apodemia mormo,Asterocampa celtis,Asterocampa clyton,Atalopedes campestris,Atrytone delaware,Atrytonopsis hianna,Battus philenor,Boloria alaskensis,Boloria bellona,Boloria chariclea,Boloria epithore,Boloria eunomia,Boloria improba,Boloria polaris,Boloria selene,Callophrys affinis,Callophrys mossii,Callophrys niphon,Callophrys polios,Callophrys sheridanii,Callophrys spinetorum,Carterocephalus palaemon,Celastrina ladon,Celastrina lucia,Celastrina serotina,Cercyonis oetus,Cercyonis pegala,Cercyonis sthenele,Chlosyne acastus,Chlosyne damoetas,Chlosyne gorgone,Chlosyne harrisii,Chlosyne nycteis,Chlosyne palla,Clossiana alberta,Clossiana astarte,Coenonympha inornata,Coenonympha tullia,Colias alexandra,Colias canadensis,Colias christina,Colias eurytheme,Colias gigantea,Colias hecla,Colias interior,Colias meadii,Colias occidentalis,Colias palaeno,Colias pelidne,Colias philodice,Colias tyche,Cyaniris neglecta,Cynthia annabella,Danaus plexippus,Deciduphagus augustinus,Elkalyce comyntas,Epargyreus clarus,Erebia disa,Erebia discoidalis,Erebia epipsodea,Erebia fasciata,Erebia lafontainei,Erebia mackinleyensis,Erebia mancinus,Erebia occulta,Erebia pawloskii,Erebia rossii,Erebia vidleri,Erebia youngi,Eresia aveyrana,Erora laeta,Erynnis afranius,Erynnis baptisiae,Erynnis brizo,Erynnis funeralis,Erynnis horatius,Erynnis icelus,Erynnis juvenalis,Erynnis lucilius,Erynnis martialis,Erynnis pacuvius,Erynnis persius,Erynnis propertius,Euchloe ausonides,Euchloe creusa,Euchloe lotta,Euchloe naina,Euchloe olympia,Euphilotes battoides,Euphilotes enoptes,Euphydryas phaeton,Euphyes bimacula,Euphyes conspicua,Euphyes dion,Euphyes dukesi,Euphyes vestris,Euptoieta claudia,Euptychia cymela,Everes amyntula,Feniseca tarquinius,Fixsenia favonius,Glaucopsyche lygdamus,Glaucopsyche piasus,Harkenclenus titus,Hesperia assiniboia,Hesperia colorado,Hesperia comma,Hesperia juba,Hesperia leonardus,Hesperia nevada,Hesperia sassacus,Hesperia uncas,Hylephila phyleus,Hypodryas gillettii,Icaricia icarioides,Incisalia eryphon,Incisalia henrici,Incisalia lanoraieensis,Junonia coenia,Lerema accius,Lethe anthedon,Lethe appalachia,Lethe eurydice,Libytheana carinenta,Limenitis archippus,Limenitis arthemis,Limenitis lorquini,Limenitis weidemeyerii,Lycaeides melissa,Lycaena cupreus,Lycaena dione,Lycaena dorcas,Lycaena dospassosi,Lycaena editha,Lycaena epixanthe,Lycaena helloides,Lycaena heteronea,Lycaena hyllus,Lycaena mariposa,Lycaena nivalis,Lycaena phlaeas,Lycaena rubidus,Mastor hegon,Mastor vialis,Mitoura gryneus,Nathalis iole,Neominois ridingsii,Neophasia menapia,Nymphalis californica,Nymphalis vaualbum,Oarisma garita,Oarisma poweshiek,Occidryas anicia,Occidryas chalcedona,Occidryas editha,Ochlodes sylvanoides,Oeneis alberta,Oeneis alpina,Oeneis bore,Oeneis chryxus,Oeneis jutta,Oeneis macounii,Oeneis melissa,Oeneis nevadensis,Oeneis philipi,Oeneis polixenes,Oeneis uhleri,Panoquina ocola,Papilio brevicauda,Papilio canadensis,Papilio cresphontes,Papilio eurymedon,Papilio glaucus,Papilio machaon,Papilio multicaudata,Papilio rutulus,Papilio troilus,Papilio zelicaon,Parnassius clodius,Parnassius eversmanni,Parnassius phoebus,Parnassius smintheus,Parrhasius m-album,Phoebis philea,Phoebis sennae,Pholisora catullus,Phyciodes batesii,Phyciodes pallida,Phyciodes tharos,Pieris angelika,Pieris marginalis,Pieris oleracea,Pieris rapae,Pieris virginiensis,Plebejus anna,Plebejus glandon,Plebejus idas,Plebejus lupini,Plebejus optilete,Plebejus saepiolus,Plebejus shasta,Poanes hobomok,Poanes massasoit,Poanes viator,Polites mystic,Polites origenes,Polites peckius,Polites sabuleti,Polites themistocles,Polygonia faunus,Polygonia gracilis,Polygonia interrogationis,Polygonia oreas,Polygonia progne,Polygonia satyrus,Polyommatus icarus,Pontia beckerii,Pontia occidentalis,Pontia protodice,Pontia sisymbrii,Protographium marcellus,Pyrgus centaureae,Pyrgus communis,Pyrgus ruralis,Pyrisitia lisa,Satyrium acadica,Satyrium behrii,Satyrium calanus,Satyrium californica,Satyrium caryaevorus,Satyrium edwardsii,Satyrium liparops,Satyrium semiluna,Speyeria aphrodite,Speyeria atlantis,Speyeria callippe,Speyeria coronis,Speyeria cybele,Speyeria edwardsii,Speyeria hydaspe,Speyeria idalia,Speyeria mormonia,Speyeria zerene,Strymon melinus,Strymon saepium,Strymon sylvinus,Thecla johnsoni,Thorybes daunus,Thorybes pylades,Thymelicus lineola,Urbanus proteus,Vanessa atalanta,Vanessa cardui,Vanessa virginiensis,Wallengrenia otho,Yvretta rhesus,unique_ID,day,month,year,x.x,y.x,pasted_coord,year2,year3,x.y,y.y,extract_ID,extract_ID_50,extract_ID_500,extract_LAT,extract_LAT_50,extract_LAT_500,extract_VEL_ED,extract_VEL_ED_50,extract_VEL_ED_500
23765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-08-05 10:32:00 1011808.31705551 5904331.53004837,5,8,2018,1011808.317,5904331.53,1011808.31705551 5904331.53004837,2018-2019,2016-2018,1011808.317,5904331.53,1314369,13246,146,5905500,5898073.529,5665397.682,5.233333111,5.367483658,5.019357905
5166,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013-06-19 11:15:00 1149479.67585381 6121884.94068316,19,6,2013,1149479.676,6121884.941,1149479.67585381 6121884.94068316,2012-2013,2013-2015,1149479.676,6121884.941,1251789,12519,131,6120500,6143000,6167669.555,6.644444466,6.772666664,5.558097547
13732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-07-21 14:50:00 1994222.41535121 6826704.68382027,21,7,2015,1994222.415,6826704.684,1994222.41535121 6826704.68382027,2014-2015,2013-2015,1994222.415,6826704.684,1046662,10492,118,6825500,6843000,6678372.757,4.344444275,4.370555534,4.006879178
14649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-08-30 13:35:00 1291739.73553211 6191327.68723619,30,8,2015,1291739.736,6191327.687,1291739.73553211 6191327.68723619,2014-2015,2013-2015,1291739.736,6191327.687,1231433,12376,132,6190500,6194950.549,6168319.328,5.966666698,5.160317452,4.240876133
28200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-25 00:00:00 1513016.41758899 6408060.83254167,25,5,2020,1513016.418,6408060.833,1513016.41758899 6408060.83254167,2020-2021,2019-2021,1513016.418,6408060.833,1167414,11796,132,6410500,6393000,6168319.328,3.944444418,4.164666648,4.240876133
13171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015-07-09 09:20:00 2064353.62008948 6801013.086276,9,7,2015,2064353.62,6801013.086,2064353.62008948 6801013.086276,2014-2015,2013-2015,2064353.62,6801013.086,1053956,10639,118,6800500,6793000,6678372.757,4.488888741,4.736444435,4.006879178
17378,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-08-15 00:00:00 1096796.72192463 6232322.76848342,15,8,2016,1096796.722,6232322.768,1096796.72192463 6232322.76848342,2016-2017,2016-2018,1096796.722,6232322.768,NA,12226,131,NA,6240405.66,6167669.555,NA,5.199161458,5.558097547
13233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-07-10 10:00:00 -1835127.09468375 7030061.81706037,10,7,2015,-1835127.095,7030061.817,-1835127.09468375 7030061.81706037,2014-2015,2013-2015,-1835127.095,7030061.817,986200,9831,95,7030500,7043000,7180817.39,1.111111164,0.629111112,0.900602707
10779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014-09-17 13:30:00 1246015.01112751 6256292.01265114,17,9,2014,1246015.011,6256292.013,1246015.01112751 6256292.01265114,2014-2015,2013-2015,1246015.011,6256292.013,1212496,12229,132,6255500,6246500,6168319.328,6.455555439,5.80622221,4.240876133
23897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-08-11 13:26:00 1401536.98416678 6214478.3476287,11,8,2018,1401536.984,6214478.348,1401536.98416678 6214478.3476287,2018-2019,2016-2018,1401536.984,6214478.348,1224175,12378,132,6215500,6214388.889,6168319.328,3.377777815,3.419753075,4.240876133
