"species_id","taxon_rank","taxon_sort_order","scientific_name","english_name","taxon_order","superfamily","family","subfamily","genus","species","subspecies"
75,"SPECIES","001-001-001-002-002-001-000","Parnassius eversmanni","Eversmann's Parnassian","Lepidoptera","Papilionoidea","Papilionidae","Parnassiinae","Parnassius","eversmanni",NULL
76,"SPECIES","001-001-001-002-002-002-000","Parnassius clodius","Clodius Parnassian","Lepidoptera","Papilionoidea","Papilionidae","Parnassiinae","Parnassius","clodius",NULL
77,"SPECIES","001-001-001-002-002-003-000","Parnassius phoebus","Phoebus Parnassian","Lepidoptera","Papilionoidea","Papilionidae","Parnassiinae","Parnassius","phoebus",NULL
799,"SPECIES","001-001-001-002-002-004-000","Parnassius behrii","Sierra Nevada Parnassian","Lepidoptera","Papilionoidea","Papilionidae","Parnassiinae","Parnassius","behrii",NULL
78,"SPECIES","001-001-001-002-002-005-000","Parnassius smintheus","Rocky Mountain Parnassian","Lepidoptera","Papilionoidea","Papilionidae","Parnassiinae","Parnassius","smintheus",NULL
797,"SPECIES","001-001-001-003-003-001-000","Parides alopius","White-dotted Cattleheart","Lepidoptera","Papilionoidea","Papilionidae","Papilioninae","Parides","alopius",NULL
79,"SPECIES","001-001-001-003-004-001-000","Battus philenor","Pipevine Swallowtail","Lepidoptera","Papilionoidea","Papilionidae","Papilioninae","Battus","philenor",NULL
779,"SPECIES","001-001-001-003-005-002-000","Eurytides philolaus","Dark Zebra Swallowtail","Lepidoptera","Papilionoidea","Papilionidae","Papilioninae","Eurytides","philolaus",NULL
80,"SPECIES","001-001-001-003-005-018-000","Eurytides marcellus","Zebra Swallowtail","Lepidoptera","Papilionoidea","Papilionidae","Papilioninae","Eurytides","marcellus",NULL
83,"SPECIES","001-001-001-003-007-001-000","Papilio machaon","Old World Swallowtail","Lepidoptera","Papilionoidea","Papilionidae","Papilioninae","Papilio","machaon",NULL
82,"SPECIES","001-001-001-003-007-002-000","Papilio brevicauda","Short-tailed Swallowtail","Lepidoptera","Papilionoidea","Papilionidae","Papilioninae","Papilio","brevicauda",NULL
788,"SPECIES","001-001-001-003-007-003-000","Papilio joanae","Joan's Swallowtail","Lepidoptera","Papilionoidea","Papilionidae","Papilioninae","Papilio","joanae",NULL
81,"SPECIES","001-001-001-003-007-004-000","Papilio polyxenes","Black Swallowtail","Lepidoptera","Papilionoidea","Papilionidae","Papilioninae","Papilio","polyxenes",NULL
84,"SPECIES","001-001-001-003-007-005-000","Papilio zelicaon","Anise Swallowtail","Lepidoptera","Papilionoidea","Papilionidae","Papilioninae","Papilio","zelicaon",NULL
85,"SPECIES","001-001-001-003-007-006-000","Papilio indra","Indra Swallowtail","Lepidoptera","Papilionoidea","Papilionidae","Papilioninae","Papilio","indra",NULL
796,"SPECIES","001-001-001-003-007-007-000","Papilio xuthus","Xuthus Swallowtail","Lepidoptera","Papilionoidea","Papilionidae","Papilioninae","Papilio","xuthus",NULL
92,"SPECIES","001-001-001-003-007-009-000","Papilio canadensis","Canadian Tiger Swallowtail","Lepidoptera","Papilionoidea","Papilionidae","Papilioninae","Papilio","canadensis",NULL
784,"SPECIES","001-001-001-003-007-010-000","Papilio appalachiensis","Appalachian Tiger Swallowtail","Lepidoptera","Papilionoidea","Papilionidae","Papilioninae","Papilio","appalachiensis",NULL
87,"SPECIES","001-001-001-003-007-011-000","Papilio glaucus","Eastern Tiger Swallowtail","Lepidoptera","Papilionoidea","Papilionidae","Papilioninae","Papilio","glaucus",NULL
780,"SPECIES","001-001-001-003-007-013-000","Papilio alexiares","Mexican Tiger Swallowtail","Lepidoptera","Papilionoidea","Papilionidae","Papilioninae","Papilio","alexiares",NULL
