usagekey	scientificname	rank	status	matchtype	canonicalname	confidence	kingdom	phylum	order	family	genus	species	kingdomkey	phylumkey	classkey	orderkey	familykey	genuskey	specieskey	synonym	class	acceptedusagekey	note	original_sciname
1939056	Parnassius eversmanni Ménétriés, 1855	species	ACCEPTED	EXACT	Parnassius eversmanni	97	Animalia	Arthropoda	Lepidoptera	Papilionidae	Parnassius	Parnassius eversmanni	1	54	216	797	9417	1938238	1939056	FALSE	Insecta	NA	NA	Parnassius eversmanni
8419265	Parnassius eversmanni (Ménétriés), 1850	species	SYNONYM	EXACT	Parnassius eversmanni	97	Animalia	Arthropoda	Lepidoptera	Papilionidae	Parnassius	Parnassius eversmanni	1	54	216	797	9417	1938238	1939056	TRUE	Insecta	1939056	Similarity: name=110; authorship=0; classification=-2; rank=5; status=0	Parnassius eversmanni
1938446	Parnassius clodius Ménétriés, 1855	species	ACCEPTED	EXACT	Parnassius clodius	98	Animalia	Arthropoda	Lepidoptera	Papilionidae	Parnassius	Parnassius clodius	1	54	216	797	9417	1938238	1938446	FALSE	Insecta	NA	NA	Parnassius clodius
1938955	Parnassius phoebus (Fabricius, 1793)	species	ACCEPTED	EXACT	Parnassius phoebus	98	Animalia	Arthropoda	Lepidoptera	Papilionidae	Parnassius	Parnassius phoebus	1	54	216	797	9417	1938238	1938955	FALSE	Insecta	NA	NA	Parnassius phoebus
1938981	Parnassius behrii Edwards, 1870	species	SYNONYM	EXACT	Parnassius behrii	98	Animalia	Arthropoda	Lepidoptera	Papilionidae	Parnassius	Parnassius smintheus	1	54	216	797	9417	1938238	1938975	TRUE	Insecta	1938975	NA	Parnassius behrii
1938975	Parnassius smintheus Doubleday, 1847	species	ACCEPTED	EXACT	Parnassius smintheus	98	Animalia	Arthropoda	Lepidoptera	Papilionidae	Parnassius	Parnassius smintheus	1	54	216	797	9417	1938238	1938975	FALSE	Insecta	NA	NA	Parnassius smintheus
1937126	Parides alopius (Godman & Salvin, 1890)	species	ACCEPTED	EXACT	Parides alopius	98	Animalia	Arthropoda	Lepidoptera	Papilionidae	Parides	Parides alopius	1	54	216	797	9417	1937063	1937126	FALSE	Insecta	NA	NA	Parides alopius
5141342	Battus philenor (Linnaues, 1771)	species	ACCEPTED	EXACT	Battus philenor	98	Animalia	Arthropoda	Lepidoptera	Papilionidae	Battus	Battus philenor	1	54	216	797	9417	1939297	5141342	FALSE	Insecta	NA	NA	Battus philenor
4299918	Eurytides philolaus (Boisduval, 1836)	species	SYNONYM	EXACT	Eurytides philolaus	98	Animalia	Arthropoda	Lepidoptera	Papilionidae	Protographium	Protographium philolaus	1	54	216	797	9417	1939129	1939136	TRUE	Insecta	1939136	NA	Eurytides philolaus
4299917	Eurytides marcellus (Cramer, 1777)	species	SYNONYM	EXACT	Eurytides marcellus	98	Animalia	Arthropoda	Lepidoptera	Papilionidae	Protographium	Protographium marcellus	1	54	216	797	9417	1939129	1939134	TRUE	Insecta	1939134	NA	Eurytides marcellus
4694201	Eurytides marcellinus	species	SYNONYM	FUZZY	Eurytides marcellinus	90	Animalia	Arthropoda	Lepidoptera	Papilionidae	Protographium	Protographium marcellinus	1	54	216	797	9417	1939129	1939150	TRUE	Insecta	1939150	Similarity: name=90; authorship=0; classification=-2; rank=5; status=0	Eurytides marcellus
8225376	Papilio machaon Linnaeus, 1758	species	ACCEPTED	EXACT	Papilio machaon	98	Animalia	Arthropoda	Lepidoptera	Papilionidae	Papilio	Papilio machaon	1	54	216	797	9417	10175914	8225376	FALSE	Insecta	NA	NA	Papilio machaon
1937866	Papilio machaon Schwalbenschwanz	species	DOUBTFUL	EXACT	Papilio machaon	95	Animalia	Arthropoda	Lepidoptera	Papilionidae	Papilio	Papilio machaon	1	54	216	797	9417	10175914	1937866	FALSE	Insecta	NA	Similarity: name=110; authorship=0; classification=-2; rank=5; status=-5	Papilio machaon
9567220	Papilis machaon (Linnaeus, 1758)	species	SYNONYM	FUZZY	Papilis machaon	78	Animalia	Arthropoda	Lepidoptera	Papilionidae	Papilio	Papilio machaon	1	54	216	797	9417	10175914	8225376	TRUE	Insecta	8225376	Similarity: name=75; authorship=0; classification=-2; rank=5; status=0	Papilio machaon
4689897	Papilio iacchus Fabricius, 1775	species	ACCEPTED	FUZZY	Papilio iacchus	9	Animalia	Arthropoda	Lepidoptera	Papilionidae	Papilio	Papilio iacchus	1	54	216	797	9417	10175914	4689897	FALSE	Insecta	NA	Similarity: name=5; authorship=0; classification=-2; rank=5; status=1	Papilio machaon
8338306	Papilio acheus Stoll, 1781	species	SYNONYM	FUZZY	Papilio acheus	8	Animalia	Arthropoda	Lepidoptera	Lycaenidae	Anteros	Anteros acheus	1	54	216	797	5473	1936931	5141093	TRUE	Insecta	5141093	Similarity: name=5; authorship=0; classification=-2; rank=5; status=0	Papilio machaon
7821497	Papilio cachrus Fabricius, 1787	species	SYNONYM	FUZZY	Papilio cachrus	8	Animalia	Arthropoda	Lepidoptera	Lycaenidae	Nymphidium	Nymphidium cachrus	1	54	216	797	5473	1934586	1934620	TRUE	Insecta	1934620	Similarity: name=5; authorship=0; classification=-2; rank=5; status=0	Papilio machaon
1938081	Papilio brevicauda Saunders, 1869	species	ACCEPTED	EXACT	Papilio brevicauda	98	Animalia	Arthropoda	Lepidoptera	Papilionidae	Papilio	Papilio brevicauda	1	54	216	797	9417	10175914	1938081	FALSE	Insecta	NA	NA	Papilio brevicauda
4299873	Papilio joanae Heitzman, 1974	species	SYNONYM	EXACT	Papilio joanae	98	Animalia	Arthropoda	Lepidoptera	Papilionidae	Papilio	Papilio machaon	1	54	216	797	9417	10175914	8225376	TRUE	Insecta	8225376	NA	Papilio joanae
